datetime,temp,humidity,windspeed,sealevelpressure,cloudcover,humidity_roll1h,cloudcover_roll1h,rain_next_1h,precip,windspeed_kph,precip_mm_per_hour,wind_baseline,cloud_baseline,precip_baseline
2015-01-01 2:15:00,72.8,92.36,2.2,1010.8,90.0,90.87125,89.175,1,0.008,3.5405480000000003,0.0508,Light Winds,Overcast,Light Rains
2015-01-01 8:15:00,76.7,75.16,4.5,1012.6,90.0,80.12125,89.175,0,0.02,7.24203,0.127,Light Winds,Overcast,Light Rains
2015-01-01 11:15:00,79.8,77.75,2.2,1013.7,100.0,74.61125,91.675,0,0.039,3.5405480000000003,0.24764999999999998,Light Winds,Overcast,Light Rains
2015-01-01 14:15:00,73.7,94.12,4.5,1013.1,100.0,93.79,99.85,1,0.039,7.24203,0.24764999999999998,Light Winds,Overcast,Light Rains
2015-01-09 5:15:00,72.6,92.94,4.5,1015.1,100.0,93.375,63.025,1,0.016,7.24203,0.1016,Light Winds,Overcast,Light Rains
2015-01-09 11:15:00,76.4,82.91,2.2,1015.9,90.0,83.2475,97.45,1,0.02,3.5405480000000003,0.127,Light Winds,Overcast,Light Rains
2015-01-14 17:15:00,78.5,85.07,2.2,1012.4,100.0,77.72,99.85,0,0.035,3.5405480000000003,0.22225,Light Winds,Overcast,Light Rains
2015-01-16 23:15:00,74.9,84.86,2.2,1013.6,50.0,80.80625,50.525,0,0.016,3.5405480000000003,0.1016,Light Winds,Partly Cloudy,Light Rains
2015-01-18 11:15:00,68.6,96.9,4.5,1012.2,100.0,88.2675,100.0,1,0.032,7.24203,0.2032,Light Winds,Overcast,Light Rains
2015-01-19 5:15:00,67.4,98.15,3.4,1011.6,80.0,98.69375,58.85,0,0.02,5.471756,0.127,Light Winds,Mostly Cloudy,Light Rains
2015-01-31 11:15:00,81.2,71.07,2.2,1017.4,80.0,64.90875,40.85,0,0.02,3.5405480000000003,0.127,Light Winds,Mostly Cloudy,Light Rains
2015-02-01 14:15:00,81.2,63.63,4.5,1015.8,90.0,61.49625,89.175,1,0.016,7.24203,0.1016,Light Winds,Overcast,Light Rains
