datetime,temp,humidity,windspeed,sealevelpressure,cloudcover,humidity_roll1h,cloudcover_roll1h,rain_next_1h,precip,windspeed_kph,precip_mm_per_hour,wind_baseline,cloud_baseline,precip_baseline
2015-01-01 17:15:00,71.0,91.19,2.2,1012.9,100.0,92.24375,100.0,1,0.157,3.5405480000000003,0.99695,Light Winds,Overcast,Moderate Rains
2015-01-18 14:15:00,67.7,98.76,4.5,1010.3,100.0,79.955,100.0,1,0.291,7.24203,1.8478499999999998,Light Winds,Overcast,Moderate Rains
2015-01-18 17:15:00,67.7,98.15,2.2,1010.3,100.0,96.54125,100.0,1,0.238,3.5405480000000003,1.5112999999999999,Light Winds,Overcast,Moderate Rains
2015-03-11 11:15:00,79.4,67.5,4.5,1017.0,100.0,65.29125,91.675,1,0.157,7.24203,0.99695,Light Winds,Overcast,Moderate Rains
2015-04-05 20:15:00,81.2,78.84,2.2,1009.8,100.0,80.44125,99.85,1,0.197,3.5405480000000003,1.25095,Light Winds,Overcast,Moderate Rains
2015-04-17 2:15:00,81.2,78.83,3.2,1012.3,80.0,78.995,41.375,1,0.157,5.149888000000001,0.99695,Light Winds,Mostly Cloudy,Moderate Rains
2015-05-03 17:15:00,89.7,61.25,4.5,1009.0,90.0,60.45875,61.125,1,0.236,7.24203,1.4986,Light Winds,Overcast,Moderate Rains
2015-05-07 14:15:00,89.7,62.72,6.7,1009.6,100.0,60.1925,63.025,1,0.236,10.782578,1.4986,Light Winds,Overcast,Moderate Rains
2015-05-08 23:15:00,80.0,88.27,4.2,1009.6,90.0,81.79375,44.175,1,0.276,6.759228,1.7526000000000002,Light Winds,Overcast,Moderate Rains
2015-05-09 20:15:00,77.3,92.5,8.2,1008.3,100.0,85.9825,91.9,1,0.236,13.196587999999998,1.4986,Light Winds,Overcast,Moderate Rains
2015-05-23 14:15:00,91.5,58.59,2.3,1009.2,80.0,66.1725,58.025,1,0.118,3.7014819999999995,0.7493,Light Winds,Mostly Cloudy,Moderate Rains
2015-05-26 17:15:00,89.3,67.36,4.5,1009.4,90.0,65.61625,89.175,1,0.197,7.24203,1.25095,Light Winds,Overcast,Moderate Rains
2015-05-27 11:15:00,89.7,61.25,2.2,1010.9,90.0,75.12,97.5,1,0.157,3.5405480000000003,0.99695,Light Winds,Overcast,Moderate Rains
2015-05-27 23:15:00,78.9,86.63,2.4,1010.5,80.0,79.025,58.025,1,0.157,3.8624159999999996,0.99695,Light Winds,Mostly Cloudy,Moderate Rains
2015-05-29 11:15:00,85.4,73.23,2.2,1011.3,90.0,69.31125,53.475,1,0.157,3.5405480000000003,0.99695,Light Winds,Overcast,Moderate Rains
2015-06-03 14:15:00,94.7,49.88,2.2,1008.9,50.0,49.89125,50.525,1,0.118,3.5405480000000003,0.7493,Light Winds,Partly Cloudy,Moderate Rains
2015-06-03 23:15:00,78.0,88.71,4.0,1011.2,90.0,88.5825,97.2,1,0.197,6.43736,1.25095,Light Winds,Overcast,Moderate Rains
2015-06-04 8:15:00,82.5,80.34,2.2,1010.9,30.0,78.25875,28.875,1,0.157,3.5405480000000003,0.99695,Light Winds,Partly Cloudy,Moderate Rains
2015-06-04 17:15:00,87.9,76.11,2.2,1006.9,80.0,67.30875,58.025,1,0.118,3.5405480000000003,0.7493,Light Winds,Mostly Cloudy,Moderate Rains
2015-06-10 14:15:00,92.9,55.34,2.2,1007.6,80.0,56.8475,86.675,1,0.157,3.5405480000000003,0.99695,Light Winds,Mostly Cloudy,Moderate Rains
2015-06-10 20:15:00,86.1,70.73,2.2,1009.1,40.0,92.6825,85.0,1,0.236,3.5405480000000003,1.4986,Light Winds,Partly Cloudy,Moderate Rains
2015-06-11 14:15:00,87.5,70.43,4.5,1009.0,100.0,66.2225,91.675,1,0.197,7.24203,1.25095,Light Winds,Overcast,Moderate Rains
2015-06-18 23:15:00,78.2,94.22,2.2,1008.3,90.0,96.3875,89.4,1,0.103,3.5405480000000003,0.6540499999999999,Light Winds,Overcast,Moderate Rains
2015-06-29 20:15:00,86.1,74.64,4.5,1009.8,80.0,74.69625,86.675,1,0.197,7.24203,1.25095,Light Winds,Mostly Cloudy,Moderate Rains
2015-07-01 20:15:00,86.3,74.66,6.7,1007.8,60.0,74.70875,81.675,1,0.197,10.782578,1.25095,Light Winds,Partly Cloudy,Moderate Rains
2015-07-02 2:15:00,83.9,75.36,4.5,1007.8,100.0,78.49875,46.375,1,0.236,7.24203,1.4986,Light Winds,Overcast,Moderate Rains
2015-07-02 23:15:00,83.6,80.93,2.2,1007.1,50.0,80.32625,50.525,1,0.197,3.5405480000000003,1.25095,Light Winds,Partly Cloudy,Moderate Rains
2015-07-04 14:15:00,88.4,73.54,9.0,1000.6,100.0,79.33375,91.75,1,0.276,14.48406,1.7526000000000002,Light Winds,Overcast,Moderate Rains
2015-07-05 2:15:00,80.3,86.22,2.2,1000.9,60.0,91.3875,81.75,1,0.224,3.5405480000000003,1.4223999999999999,Light Winds,Partly Cloudy,Moderate Rains
2015-07-05 17:15:00,77.6,89.8,4.5,1001.9,100.0,93.20875,100.0,1,0.118,7.24203,0.7493,Light Winds,Overcast,Moderate Rains
2015-07-07 17:15:00,84.5,88.99,4.5,1001.9,80.0,87.1225,86.75,1,0.157,7.24203,0.99695,Light Winds,Mostly Cloudy,Moderate Rains
2015-07-10 8:15:00,78.5,93.1,2.2,1003.7,100.0,95.6875,99.7,1,0.236,3.5405480000000003,1.4986,Light Winds,Overcast,Moderate Rains
2015-07-10 23:15:00,78.9,92.02,4.5,1006.3,100.0,94.93,100.0,1,0.236,7.24203,1.4986,Light Winds,Overcast,Moderate Rains
2015-07-11 17:15:00,81.2,82.72,4.5,1006.2,100.0,79.87,91.75,1,0.197,7.24203,1.25095,Light Winds,Overcast,Moderate Rains
2015-07-12 17:15:00,84.8,76.79,6.7,1006.9,90.0,88.395,97.5,1,0.182,10.782578,1.1557,Light Winds,Overcast,Moderate Rains
2015-07-15 17:15:00,86.3,71.18,4.5,1006.7,90.0,68.2325,89.55,1,0.236,7.24203,1.4986,Light Winds,Overcast,Moderate Rains
2015-07-16 17:15:00,80.7,90.43,9.9,1006.2,100.0,86.4025,100.0,1,0.275,15.932466,1.74625,Light Winds,Overcast,Moderate Rains
2015-07-23 8:15:00,75.5,92.45,2.2,1012.7,30.1,91.10375,74.2,1,0.236,3.5405480000000003,1.4986,Light Winds,Partly Cloudy,Moderate Rains
